Src/Trg,i1Htr3a,E2/3,i2/3 Pvalb,i2/3 Sst,i2/3 Htr3a,E4,i4 Pvalb,i4 Sst,i4 Htr3a,E5,i5 Pvalb,i5 Sst,i5 Htr3a,E6,i6 Pvalb,i6 Sst,i6 Htr3a
i1Htr3a,0.765,0.415,0.109,0.079,0.541,0.173,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000
E2/3,   0.000,0.480,0.461,0.212,0.212,0.010,0.050,0.050,0.050,0.326,0.066,0.083,0.000,0.000,0.000,0.000,0.000
i2/3Pva,0.028,0.480,0.526,0.050,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
i2/3Sst,0.326,0.495,1.000,0.000,0.000,0.058,0.058,0.058,0.058,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000
i2/3Htr,0.000,0.000,0.000,0.729,0.033,0.058,0.058,0.058,0.058,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000
E4,     0.000,0.320,0.117,0.117,0.117,0.480,0.502,0.350,0.212,0.221,0.118,0.149,0.058,0.030,0.000,0.000,0.000
i4Pvalb,0.000,0.000,0.000,0.000,0.020,0.510,0.526,0.050,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
i4Sst,  0.181,0.087,0.058,0.058,0.058,0.410,1.000,0.000,0.000,0.030,0.035,0.000,0.035,0.000,0.000,0.010,0.000
i4Htr3a,0.000,0.000,0.058,0.058,0.058,0.000,0.000,0.729,0.033,0.000,0.035,0.035,0.035,0.000,0.000,0.010,0.000
E5,     0.020,0.245,0.158,0.058,0.058,0.128,0.158,0.058,0.058,0.480,0.297,0.274,0.212,0.326,0.035,0.035,0.035
i5Pvalb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.531,0.421,0.050,0.050,0.000,0.000,0.000,0.000
i5Sst,  0.237,0.197,0.000,0.020,0.000,0.197,0.010,0.007,0.035,0.370,1.000,0.000,0.000,0.035,0.012,0.012,0.012
i5Htr3a,0.000,0.000,0.000,0.000,0.000,0.035,0.035,0.035,0.035,0.146,0.023,0.729,0.023,0.035,0.012,0.012,0.012
E6,     0.000,0.070,0.070,0.050,0.000,0.500,0.180,0.150,0.000,0.014,0.012,0.012,0.012,0.480,0.369,0.317,0.212
i6Pvalb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.317,0.593,0.000,0.000
i6Sst,  0.100,0.050,0.000,0.000,0.000,0.100,0.050,0.050,0.000,0.035,0.035,0.035,0.035,0.117,0.658,0.000,0.000
i6Htr3a,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.035,0.035,0.035,0.035,0.000,0.000,0.158,0.035
